Hospital Name,Address,Contact No.
"SURIGAO DOCTORS HOSPITAL, INC","SITIO KINABUTAN, BRGY. RIZAL, SURIGAO CITY, SURIGAO DEL NORTE",086-310-96-09/ 086-827-51-77
TAAL POLYMEDIC HOSPITAL AND MEDICAL CENTER,"Diversion Rd., Brgy. Carsuche, Taal Batangas",(043) 740-6283
TACLOBAN DOCTORS MEDICAL CENTER,"Cong. Artemio Mate Ave., Abucay, Tacloban City",(053) 321-1708 ; 0927-5548125
"TAGAYTAY MEDICAL CENTER INC. (FORMERLY UNIHEALTH - TAGAYTAY HOSPITAL AND MEDICAL CENTER, INC.)","Emilio Aginaldo Hi-way, Silang Crossing East, Tagytay City",(046) 483 0134-38
"TAGBILARAN COMMUNITY HOSPITAL, CORP.","49 M. PARRAS ST., TAGBILARAN CITY, BOHOL",(038) 411-3324 ; (038) 235-4689 ; (038) 501-7410;(038) 4112886
"TAGOLOAN POLYMEDIC GENERAL HOSPITAL, INC","PHVIDEC Industrial Estate, Tagoloan,Misamis Oriental",(088) 890-3072
TAGUM DOCTORS HOSPITAL,"HIGHWAY 54, RABE SUBD., VISAYAN VILLAGE, TAGUM CITY, DAVAO DEL NORTE",(084)655.6747; 218-2309; 218-3122; 0846566747
TALON GENERAL HOSPITAL,"F. TAÑEDO ST., TARLAC CITY, TARLAC",(045) 982-3889; 982-1400 (Trunkline)
"TANAUAN MEDICAL CENTER, INC. (FORMERLY C.P. REYES HOSPITAL)","A. MABINI AVENUE, TANAUAN CITY, BATANGAS",(043) 784-5402-06 (trunkline); 778-1119; 778-1364; 405-0035 (Telefax)
TANAY GENERAL HOSPITAL,"Tanay, Rizal",654-1049
"TANCHULING GENERAL HOSPITAL, INC.","Imperial Court Subdivision, Legazpi City, Albay",(052)480-6302 (Bayantel) /052-820-2913/091758812913/09989756554
TANZA DOCTORS HOSPITAL INC.,"A. Soriano Highway Brgy. Sahud Ulan Tanza, Cavite",046 888-9588
TANZA FAMILY GENERAL HOSPITAL & PHARMACY,"Antero Soriano Highway cor. NIA Road, Daang Amaya 2, Tanza, Cavite",(046)437-7244/ 505-1285
TANZA SPECIALISTS MEDICAL CENTER INC.,"BRGY. DAANG AMAYA III TANZA, CAVITE",(046) 434-7777 LOC. 143
TARLAC MEDICAL CENTER,"769 8th., TDMC Hospital Drive Fairlane Subd., San Vicente Tarlac City",(045)809-0050/0917712-5395
"TAYABAS COMMUNITY HOSPITAL, INC.","National Rd., Brgy. Wakas, Tayabas City, Quezon",(042) 793-2216
"TAYTAY DOCTORS MULTISPECIALTY HOSPITAL, INC.","6 Rizal Ave., San Isidro, Taytay Rizal",706.7101 to 03; 661-6708;8539-2222 loc.111
TAYTAY MATERNITY AND CHILD CARE CENTER,"Rizal Ave. cor. Isagani St., Taytay, Rizal",(02) 570-5284
TAYUG FAMILY HOSPITAL,"Brgy. Barangobong, Tayug, Pangasinan",(075)572-2960;09988609177 ; 0908-8141346
"THE BLACK NAZARENE HOSPITAL, INC.","#29 Brgy. 2, Bonoan St., San Nicolas, Ilocos Norte",(077) 773.1757
"THE FIRST FILIPINO SAINT HOSPITAL, SAN LORENZO RUIZ","GOVERNORS DRIVE NAIC, CAVITE",(046) 412-1411/412-1763 (046)6863249
THE HEALTH CENTRUM HOSPITAL,"Teodorica Avenue, Banica Roxas City",(036)621.9088/620.1023 (036) 621-0023
THE MEDICAL CITY,"MERALCO COMP. MERALCO AVE., ORTIGAS AVE., PASIG CITY",(02)635-6789; 988-7000; 988-1000/D.L. 633-6826/631-6961 // 634-7183 direct line
"THE MEDICAL CITY - ILOILO (FORMERLY GREAT SAVIOUR INTERNATIONAL HOSPITAL, INC.)","LOCSIN ST., BRGY. TAP-OC, MOLO, ILOILO CITY",(033) 338-1505-13; (033)500-1000
THE MEDICAL CITY CLARK INC.,#100 Gatwick gateway sabah alhamad industrial estate 5 Clark Global City Freeport Zone,(045)300-8888; 598-4000/  0455984000 loc 0008 / 09190695536
"THE MEDICAL CITY PANGASINAN (FORMERLY UNIVERSITY OF PANGASINAN MEDICAL CENTER, INC.)","NABLE ST., DAGUPAN CITY",(075) 6152273; 522-2255
THE MEDICAL CITY SOUTH LUZON (FORMERLY SOUTHERN LUZON HOSPITAL AND MEDICAL CENTER),"United Blvd., Sta. Rosa Business Park, Sta. Rosa City, Laguna",ER (049) 541-31-43 ; (049) 544-0120 ; (049) 544-0130 loc 106 (Billing) 09451977059  / 09994441465 (hmo)
THE PARAMOUNT MEDICAL CENTER,"President Jose P. Laurel, Bugtong na Pulo, Lipa City Batangas",043-311-1856
THE PREMIER MEDICAL CENTER,"Lot 2 AMVEL Business Park, Dr. A. Santos Ave., Brgy. San Dionisio, Paraï¿½aque City",865-2200 ; 09177046197(HMO)
"TIGLAO MEDICAL CENTER FOUNDATION, INC.","10 San Joaquin, Mabalacat, Pampanga",045-331.7700; (045)331-8800; 0922-800.6087
TIWI DOCTORS HOSPITAL,"Purok Santol Nagas, Tiwi Albay",9683597893
TOBIAS FELICIANO FAITH GENERAL HOSPITAL INC.(FORMERLY FAITH HOSPITAL),"Las Aguadas, Ozamiz City, Misamis Occidental",(088) 586-0548/ Sun: 09420670382 Globe:  09956318755
TOMBOC-SALAYOG HOSPITAL,"Purok Waya-Waya Brgy. San Emmanuel, Tacurong City, Sultan Kudarat",(064)200-6057 & 200-6777
TRICITY MEDICAL CENTER INC.,"269 C. Raymundo Ave., Maybunga, Pasig City",275-9747;275-9742; 275-9752
TUCAY MULTI-SPECIALTY HOSPITAL,"SR8 Bldg. Mac Arthur Highway, Maligaya Tarlac",0925-488-6015; (045) 491-3103
"ULTICARE MEDICAL CENTER, INC.","02 National Highway Barrio Barretto, Olongapo City Zambales",(047) 602-6200
UNIHEALTH PARAÑAQUE HOSPITAL AND MEDICAL CENTER,"Dr. A. Santos Ave., San Isidro, Sucat, Parañaque City",0917-8381734; 832-0642
UNIHEALTH QUEZON HOSPITAL AND MEDICAL CENTER,"LOT 957 - E & 964, MAHARLIKA HIGHWAY BRGY ISABANG TAYABAS CITY",(042) 421 7713
UNIHEALTH SOUTHWOODS HOSPITAL AND MEDICAL CENTER,"Lot 3 Blk. 11, Southwoods Ecocentrum Business Park, Brgy. San Francisco, Biñan, Laguna",02 8898 9700
UNITED CANDELARIA DOCTORS HOSPITAL,"Maharlika Highway, Brgy., Mangilag Sur Candelaria, Quezon",(042) 585-2109/ 585-2116 or 2112 (admitting)
UNITED DAVAO SPECIALISTS HOSPITAL AND MEDICAL CENTER INC.,"Km. 4 Gen. Douglas MacArthur highway, Barangay Ma-a Talomo, Davao City",+63 82 315 8075 ; 09171166471
UNITED DOCTORS MEDICAL CENTER,"ESPAï¿½A ROTONDA CORNER #6 N. RAMIREZ ST., QUEZON CITY",(02) 731-5870/ 871-8088/ 09223142814
UNITED DOCTORS OF ST. CAMILLUS DE LELLIS HOSPITAL,"Diversion Road, Brgy. Bolbok, Batangas City",(043) 740-3087
UNITED DOCTORS OF ST. CAMILLUS DE LELLIS MABINI GENERAL HOSPITAL,Pulong Niogan Mabini Batangas,(043) 403-8609
"UNITED IMUS DOCTORS, INC. (OUR LADY OF THE PILLAR MEDICAL CENTER)","TAMSUI AVE., BAYAN LUMA, IMUS, CAVITE",(046) 472-3773; (046) 472-3191 ; (02) 519-4165/(02) 519-4175/(02) 519-4186
"UNIVERSIDAD DE STA. ISABEL DE NAGA, INC. (FORMERLY MOTHER SETON HOSPITAL)","ROXAS AVENUE, (DIVERSION ROAD) NAGA CITY",(054) 472-4025/472-4027 TO 30; 811-8060
UNIVERSITY OF CEBU MEDICAL CENTER INC.,"Ouano Avenue, Subangdaku, Mandaue City, Cebu",(032)517-0888
UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER,"Alabang-Zapote Avenue, Pamplona 3, Las Piñas City, 1740 Metro Manila",(02) 874-8515 (trunkline); 874-2582
UNIVERSITY OF SANTO TOMAS HOSPITAL,"ESPAÑA BLVD., SAMPALOC, METRO MANILA",(02) 8737 3001
"UNIVERSITY OF SANTO TOMAS-LEGAZPI INC.( FORMERLY AQUINAS UNIVERSITY HOSPITAL FOUNDATION, INC.)","Capt. Aquende Drive, Legazpi City 4500",CnC: (052) 481-4420; 480-7755/09177064864; 09176263465
UNIVERSITY OF THE EAST NEUROSURGERY ALUMNI ASSOCIATION,"Suite 324 UERM Memorial Hospital, 64 Aurora Blvd., Doña Imelda, Quezon City",8-715-0861; 8-716-1852
UNIVERSITY OF THE EAST RAMON MAGSAYSAY MEMORIAL MEDICAL CENTER,"#64 aurora blvd dona imelda, quezon city",8715 0861 loc 215/334
"UPH-DR. JOSE G. TAMAYO MEDICAL UNIVERSITY, INC. (FORMERLY PERPETUAL HELP MEDICAL CENTER OF LAGUNA)","Sto. Niï¿½o, Biï¿½an, Laguna",(02) 8779 5310/09156624611
URDANETA SACRED HEART HOSPITAL,"Mc Arthur Highway, San Vicente St., Urdaneta City, Pangasinan",(075)656-2296 to 98; 568-2294 to 96
"UROLOGY CENTER OF THE PHILIPPINES, INC.","62 Maginoo St., Diliman, Quezon City",990.3035; 990.3031 ; 4352617 to 19
V.L. MAKABALI MEMORIAL HOSPITAL INC,"B. MENDOZA STREET, SAN FERNANDO CITY, PAMPANGA","(045) 961-2442, 961-2234, 961-2616, 961-2284, 860-1887"
VALENZUELA CITICARE MEDICAL CENTER,"Km. 14 Mc Arthur hi-way, Malinta, Valenzuela City",860-9300 loc 9344
VICENTE GULLAS HOSPITAL,"BANILAD, MANDAUE CITY, CEBU",(032) 346-9292
VILLANUEVA TANCHULING MATERNITY AND GENERAL HOSPITAL INC.,"HIGHWAY 1, SAN JOSE, IRIGA CITY",(054) 299-2122
VILLAROSA HOSPITAL,"#11 Salalilla St. Project 4, Quezon City",8774-1609
"VISAYAS MED-CEBU (FORMERLY: VISAYAS COMMUNITY MEDICAL CENTER, INC.)","F. RAMOS STREET, OSMENA BLVD., CEBU CITY",(032) 2533848; 253-1901-08
WESLEYAN UNIVERSITY - PHILIPPINES (WESLEYAN UNIVERSITY MEDICAL CENTER),"Tandang Sora St., Cabanatuan City",(044) 463-4735/ 463-6628
WEST METRO MEDICAL CENTER (FORMERLY WESTERN MINDANAO MEDICAL CENTER),"Veterans Ave. Extension, Zamboanga City",(062) 9931094; 991-2506
WESTLAKE MEDICAL CENTER,"National Highway, Pacita Complex, Barangay Nueva, San Pedro, Laguna",553-8185/(02) 403-8814
WORLD CITI MEDICAL CENTER (FORMERLY QCMC),"960 AURORA BLVD., QUEZON CITY",(02) 9138380 ; Billing loc. 174 ; 913-8385; 913-8392 ; 913-8389
YGEIA MEDICAL CENTER,"2081 President Quirino Ave., Pandacan, Manila 1011",562-7464 to 65
YR ST. MICHAEL MEDICAL HOSPITAL INC. (ST. MICHAEL MEDICAL HOSPITAL),"#220 MOLINO II, BACOOR, CAVITE",(046) 477-1707- /477.1757
ZAFRA MEDICAL CLINIC AND HOSPITAL,"1055 National Highway Gredu, Panabo City",(084) 628-6140/ 309-0213
ZAMBOANGA DOCTORS HOSPITAL,"Veterans Avenue, Zamboanga City",(062) 992-1776/991-1929
ZAMBOANGA PENINSULA MEDICAL CENTER INC.,"MCLL Highway, Brgy. Putik, Zamboanga City",(062) 955 4583
ZONE MEDICAL INTERVENTION HOSPITAL,"Diversion Rd., Binacagan, Ligao City",0915-698-5788; ADMITTING: 0906-6535187 ACCOUNTING: 09388702165
